Yıl,İl,Toplam,Erkek,Kadın
2023,Adana,2270298,1135046,1135252
2023,Adıyaman,604978,306779,298199
2023,Afyonkarahisar,751344,374705,376639
2023,Ağrı,511238,265585,245653
2023,Aksaray,438504,219006,219498
2023,Amasya,339529,168290,171239
2023,Ankara,5803482,2860361,2943121
2023,Antalya,2696249,1357198,1339051
2023,Ardahan,92819,48239,44580
2023,Artvin,172356,86355,86001
2023,Aydın,1161702,576262,585440
2023,Balıkesir,1273519,634259,639260
2023,Bartın,207238,103087,104151
2023,Batman,647205,327361,319844
2023,Bayburt,86047,43603,42444
2023,Bilecik,228058,115418,112640
2023,Bingöl,285655,144014,141641
2023,Bitlis,359747,186038,173709
2023,Bolu,324789,161319,163470
2023,Burdur,277452,138441,139011
2023,Bursa,3214571,1605941,1608630
2023,Çanakkale,570499,285346,285153
2023,Çankırı,205501,103037,102464
2023,Çorum,528351,261950,266401
2023,Denizli,1059082,526717,532365
2023,Diyarbakır,1818133,918980,899153
2023,Düzce,409865,204734,205131
2023,Edirne,419913,210653,209260
2023,Elazığ,604411,298845,305566
2023,Erzincan,243399,124244,119155
2023,Erzurum,749993,372622,377371
2023,Eskişehir,915418,454606,460812
2023,Gaziantep,2164134,1091830,1072304
2023,Giresun,461712,230728,230984
2023,Gümüşhane,148539,74581,73958
2023,Hakkari,287625,154235,133390
2023,Hatay,1544640,782303,762337
2023,Iğdır,209738,109710,100028
2023,Isparta,449777,222515,227262
2023,İstanbul,15655924,7806787,7849137
2023,İzmir,4479525,2221180,2258345
2023,Kahramanmaraş,1116618,568064,548554
2023,Karabük,255242,128370,126872
2023,Karaman,263960,131571,132389
2023,Kars,278335,144024,134311
2023,Kastamonu,388990,192048,196942
2023,Kayseri,1445683,722569,723114
2023,Kırıkkale,285744,142651,143093
2023,Kırklareli,377156,190769,186387
2023,Kırşehir,247179,122754,124425
2023,Kilis,155179,78198,76981
2023,Kocaeli,2102907,1061291,1041616
2023,Konya,2320241,1152384,1167857
2023,Kütahya,575674,284542,291132
2023,Malatya,742725,373688,369037
2023,Manisa,1475716,741274,734442
2023,Mardin,888874,446320,442554
2023,Mersin,1938389,969526,968863
2023,Muğla,1066736,541870,524866
2023,Muş,399879,203272,196607
2023,Nevşehir,315994,155897,160097
2023,Niğde,377080,188774,188306
2023,Ordu,775800,386605,389195
2023,Osmaniye,557666,280450,277216
2023,Rize,350506,175231,175275
2023,Sakarya,1098115,550484,547631
2023,Samsun,1377546,681565,695981
2023,Siirt,347412,180736,166676
2023,Sinop,229716,114183,115533
2023,Sivas,650401,325125,325276
2023,Şanlıurfa,2213964,1116834,1097130
2023,Şırnak,570745,299177,271568
2023,Tekirdağ,1167059,595133,571926
2023,Tokat,606934,301234,305700
2023,Trabzon,824352,409040,415312
2023,Tunceli,89317,47110,42207
2023,Uşak,377001,187253,189748
2023,Van,1127612,574993,552619
2023,Yalova,304780,152100,152680
2023,Yozgat,420699,210051,210648
2023,Zonguldak,591492,294001,297491
2022,Adana,2274106,1137455,1136651
2022,Adıyaman,635169,320177,314992
2022,Afyonkarahisar,747555,373459,374096
2022,Ağrı,510626,264465,246161
2022,Aksaray,433055,216983,216072
2022,Amasya,338267,169198,169069
2022,Ankara,5782285,2856479,2925806
2022,Antalya,2688004,1351702,1336302
2022,Ardahan,92481,47946,44535
